site1,site2,distance
21,39,0.496
21,40,0.5493333333333333
21,41,0.49866666666666665
21,42,0.5573333333333333
21,43,0.6266666666666667
21,44,0.5066666666666667
21,45,0.5786666666666667
21,46,0.3038821954484605
21,47,0.31466666666666665
21,48,0.49866666666666665
21,49,0.568
22,1,0.5786666666666667
22,2,0.792
22,3,0.872
22,4,0.528
22,5,0.6533333333333333
22,6,0.7146666666666667
22,7,0.4106666666666667
22,8,0.6373333333333333
22,9,0.488
22,10,0.5973333333333334
22,11,0.4
22,12,0.448
22,13,0.5573333333333333
22,14,0.6666666666666666
22,15,0.6506666666666666
22,16,0.704
22,17,0.6
22,18,0.3973333333333333
22,19,0.23733333333333334
22,20,0.2693333333333333
22,21,0.5146666666666667
22,22,0
22,23,0.592
22,24,0.4746666666666667
22,25,0.48
22,26,0.432
22,27,0.832
22,28,0.8026666666666666
22,29,0.624
22,30,0.528
22,31,0.7386666666666667
22,32,0.712
22,33,0.504
22,34,0.37333333333333335
22,35,0.6186666666666667
22,36,0.648
22,37,0.5786666666666667
22,38,0.5786666666666667
22,39,0.5786666666666667
22,40,0.752
22,41,0.6
22,42,0.43466666666666665
22,43,0.49866666666666665
22,44,0.7253333333333334
22,45,0.696
22,46,0.3413654618473896
22,47,0.5733333333333334
22,48,0.752
22,49,0.7626666666666667
23,1,0.528
23,2,0.8266666666666667
23,3,0.5253333333333333
23,4,0.784
23,5,0.7466666666666667
23,6,0.23466666666666666
23,7,0.656
23,8,0.696
23,9,0.5866666666666667
23,10,0.8026666666666666
23,11,0.7226666666666667
23,12,0.384
23,13,0.6506666666666666
23,14,0.7786666666666666
23,15,0.8666666666666667
23,16,0.8693333333333333
23,17,0.6693333333333333
23,18,0.6773333333333333
23,19,0.5573333333333333
23,20,0.728
23,21,0.6106666666666667
23,22,0.592
23,23,0
23,24,0.5946666666666667
23,25,0.5413333333333333
23,26,0.6506666666666666
23,27,0.9093333333333333
23,28,0.5173333333333333
23,29,0.448
23,30,0.648
23,31,0.8693333333333333
23,32,0.8346666666666667
23,33,0.8453333333333334
23,34,0.5093333333333333
23,35,0.4266666666666667
23,36,0.736
23,37,0.64
23,38,0.5973333333333334
23,39,0.2693333333333333
23,40,0.5413333333333333
23,41,0.8026666666666666
23,42,0.8026666666666666
23,43,0.84
23,44,0.6213333333333333
23,45,0.432
23,46,0.5341365461847389
23,47,0.5653333333333334
23,48,0.7813333333333333
23,49,0.4746666666666667
24,1,0.48533333333333334
24,2,0.624
24,3,0.8453333333333334
24,4,0.616
24,5,0.7253333333333334
24,6,0.6213333333333333
24,7,0.30933333333333335
24,8,0.6053333333333333
24,9,0.45866666666666667
24,10,0.44266666666666665
24,11,0.6133333333333333
24,12,0.4186666666666667
24,13,0.6293333333333333
24,14,0.744
24,15,0.7653333333333333
24,16,0.8053333333333333
24,17,0.528
24,18,0.536
24,19,0.408
24,20,0.6186666666666667
24,21,0.38666666666666666
24,22,0.4746666666666667
24,23,0.5946666666666667
24,24,0
24,25,0.12
24,26,0.3973333333333333
24,27,0.6053333333333333
24,28,0.6266666666666667
24,29,0.648
24,30,0.5413333333333333
24,31,0.808
24,32,0.4746666666666667
24,33,0.5386666666666666
24,34,0.44533333333333336
24,35,0.496
24,36,0.488
24,37,0.56
24,38,0.43466666666666665
24,39,0.5733333333333334
24,40,0.6666666666666666
24,41,0.5013333333333333
24,42,0.5173333333333333
24,43,0.5946666666666667
24,44,0.5626666666666666
24,45,0.6186666666666667
24,46,0.29852744310575635
24,47,0.41333333333333333
24,48,0.5146666666666667
24,49,0.6693333333333333
25,1,0.4026666666666667
25,2,0.64
25,3,0.848
25,4,0.6026666666666667
25,5,0.7333333333333333
25,6,0.5866666666666667
25,7,0.28
25,8,0.5973333333333334
25,9,0.4666666666666667
25,10,0.488
25,11,0.6106666666666667
25,12,0.37066666666666664
25,13,0.6373333333333333
25,14,0.7386666666666667
25,15,0.7466666666666667
25,16,0.7893333333333333
25,17,0.5493333333333333
25,18,0.5173333333333333
25,19,0.41333333333333333
25,20,0.6133333333333333
25,21,0.408
25,22,0.48
25,23,0.5413333333333333
25,24,0.12
25,25,0
25,26,0.39466666666666667
25,27,0.6586666666666666
25,28,0.648
25,29,0.6346666666666667
25,30,0.5493333333333333
25,31,0.8053333333333333
25,32,0.5306666666666666
25,33,0.5226666666666666
25,34,0.43733333333333335
25,35,0.536
25,36,0.5013333333333333
25,37,0.584
25,38,0.49066666666666664
25,39,0.5866666666666667
25,40,0.6986666666666667
25,41,0.5333333333333333
25,42,0.49333333333333335
25,43,0.5706666666666667
25,44,0.5893333333333334
25,45,0.616
25,46,0.3119143239625167
25,47,0.4186666666666667
25,48,0.5893333333333334
25,49,0.6746666666666666
26,1,0.44266666666666665
26,2,0.6266666666666667
26,3,0.7386666666666667
26,4,0.45066666666666666
